paramN,a,b,c,H,V,m ,gamma,mu,R0,Persist
572,0.3,0.4,0.6,19820,198200,10,0.25,0.3,1.697056275,TRUE
573,0.3,0.4,0.6,19820,198200,10,0.01,0.1,14.69693846,TRUE
574,0.3,0.4,0.6,19820,198200,10,0.01,0.3,8.485281374,TRUE
575,0.3,0.4,0.6,19820,198200,10,0.005,0.1,20.78460969,TRUE
576,0.3,0.4,0.6,19820,198200,10,0.005,0.3,12,TRUE
577,0.3,0.75,0.08,100,100,1,0.25,0.1,0.464758002,FALSE
578,0.3,0.75,0.08,100,100,1,0.25,0.3,0.268328157,FALSE
579,0.3,0.75,0.08,100,100,1,0.01,0.1,2.323790008,TRUE
580,0.3,0.75,0.08,100,100,1,0.01,0.3,1.341640786,TRUE
581,0.3,0.75,0.08,100,100,1,0.005,0.1,3.286335345,TRUE
582,0.3,0.75,0.08,100,100,1,0.005,0.3,1.897366596,TRUE
583,0.3,0.75,0.08,100,250,2.5,0.25,0.1,0.734846923,FALSE
584,0.3,0.75,0.08,100,250,2.5,0.25,0.3,0.424264069,FALSE
585,0.3,0.75,0.08,100,250,2.5,0.01,0.1,3.674234614,TRUE
586,0.3,0.75,0.08,100,250,2.5,0.01,0.3,2.121320344,TRUE
587,0.3,0.75,0.08,100,250,2.5,0.005,0.1,5.196152423,TRUE
588,0.3,0.75,0.08,100,250,2.5,0.005,0.3,3,TRUE
589,0.3,0.75,0.08,100,700,7,0.25,0.1,1.229634092,TRUE
590,0.3,0.75,0.08,100,700,7,0.25,0.3,0.709929574,FALSE
591,0.3,0.75,0.08,100,700,7,0.01,0.1,6.14817046,TRUE
592,0.3,0.75,0.08,100,700,7,0.01,0.3,3.54964787,TRUE
593,0.3,0.75,0.08,100,700,7,0.005,0.1,8.694826048,TRUE
594,0.3,0.75,0.08,100,700,7,0.005,0.3,5.019960159,TRUE
595,0.3,0.75,0.08,100,1000,10,0.25,0.1,1.469693846,TRUE
596,0.3,0.75,0.08,100,1000,10,0.25,0.3,0.848528137,FALSE
597,0.3,0.75,0.08,100,1000,10,0.01,0.1,7.348469228,TRUE
598,0.3,0.75,0.08,100,1000,10,0.01,0.3,4.242640687,TRUE
599,0.3,0.75,0.08,100,1000,10,0.005,0.1,10.39230485,TRUE
600,0.3,0.75,0.08,100,1000,10,0.005,0.3,6,TRUE
601,0.3,0.75,0.08,780,780,1,0.25,0.1,0.464758002,FALSE
602,0.3,0.75,0.08,780,780,1,0.25,0.3,0.268328157,FALSE
603,0.3,0.75,0.08,780,780,1,0.01,0.1,2.323790008,TRUE
604,0.3,0.75,0.08,780,780,1,0.01,0.3,1.341640786,TRUE
605,0.3,0.75,0.08,780,780,1,0.005,0.1,3.286335345,TRUE
606,0.3,0.75,0.08,780,780,1,0.005,0.3,1.897366596,TRUE
607,0.3,0.75,0.08,780,1950,2.5,0.25,0.1,0.734846923,FALSE
608,0.3,0.75,0.08,780,1950,2.5,0.25,0.3,0.424264069,FALSE
609,0.3,0.75,0.08,780,1950,2.5,0.01,0.1,3.674234614,TRUE
610,0.3,0.75,0.08,780,1950,2.5,0.01,0.3,2.121320344,TRUE
611,0.3,0.75,0.08,780,1950,2.5,0.005,0.1,5.196152423,TRUE
612,0.3,0.75,0.08,780,1950,2.5,0.005,0.3,3,TRUE
613,0.3,0.75,0.08,780,5460,7,0.25,0.1,1.229634092,TRUE
614,0.3,0.75,0.08,780,5460,7,0.25,0.3,0.709929574,FALSE
615,0.3,0.75,0.08,780,5460,7,0.01,0.1,6.14817046,TRUE
616,0.3,0.75,0.08,780,5460,7,0.01,0.3,3.54964787,TRUE
617,0.3,0.75,0.08,780,5460,7,0.005,0.1,8.694826048,TRUE
618,0.3,0.75,0.08,780,5460,7,0.005,0.3,5.019960159,TRUE
619,0.3,0.75,0.08,780,7800,10,0.25,0.1,1.469693846,TRUE
620,0.3,0.75,0.08,780,7800,10,0.25,0.3,0.848528137,FALSE
621,0.3,0.75,0.08,780,7800,10,0.01,0.1,7.348469228,TRUE
622,0.3,0.75,0.08,780,7800,10,0.01,0.3,4.242640687,TRUE
623,0.3,0.75,0.08,780,7800,10,0.005,0.1,10.39230485,TRUE
624,0.3,0.75,0.08,780,7800,10,0.005,0.3,6,TRUE
625,0.3,0.75,0.08,37500,37500,1,0.25,0.1,0.464758002,FALSE
626,0.3,0.75,0.08,37500,37500,1,0.25,0.3,0.268328157,FALSE
627,0.3,0.75,0.08,37500,37500,1,0.01,0.1,2.323790008,TRUE
628,0.3,0.75,0.08,37500,37500,1,0.01,0.3,1.341640786,TRUE
629,0.3,0.75,0.08,37500,37500,1,0.005,0.1,3.286335345,TRUE
630,0.3,0.75,0.08,37500,37500,1,0.005,0.3,1.897366596,TRUE
631,0.3,0.75,0.08,37500,93750,2.5,0.25,0.1,0.734846923,FALSE
632,0.3,0.75,0.08,37500,93750,2.5,0.25,0.3,0.424264069,FALSE
633,0.3,0.75,0.08,37500,93750,2.5,0.01,0.1,3.674234614,TRUE
634,0.3,0.75,0.08,37500,93750,2.5,0.01,0.3,2.121320344,TRUE
635,0.3,0.75,0.08,37500,93750,2.5,0.005,0.1,5.196152423,TRUE
636,0.3,0.75,0.08,37500,93750,2.5,0.005,0.3,3,TRUE
637,0.3,0.75,0.08,37500,262500,7,0.25,0.1,1.229634092,TRUE
638,0.3,0.75,0.08,37500,262500,7,0.25,0.3,0.709929574,FALSE
639,0.3,0.75,0.08,37500,262500,7,0.01,0.1,6.14817046,TRUE
640,0.3,0.75,0.08,37500,262500,7,0.01,0.3,3.54964787,TRUE
641,0.3,0.75,0.08,37500,262500,7,0.005,0.1,8.694826048,TRUE
642,0.3,0.75,0.08,37500,262500,7,0.005,0.3,5.019960159,TRUE
643,0.3,0.75,0.08,37500,375000,10,0.25,0.1,1.469693846,TRUE
644,0.3,0.75,0.08,37500,375000,10,0.25,0.3,0.848528137,FALSE
645,0.3,0.75,0.08,37500,375000,10,0.01,0.1,7.348469228,TRUE
646,0.3,0.75,0.08,37500,375000,10,0.01,0.3,4.242640687,TRUE
647,0.3,0.75,0.08,37500,375000,10,0.005,0.1,10.39230485,TRUE
648,0.3,0.75,0.08,37500,375000,10,0.005,0.3,6,TRUE
649,0.3,0.75,0.08,19820,19820,1,0.25,0.1,0.464758002,FALSE
650,0.3,0.75,0.08,19820,19820,1,0.25,0.3,0.268328157,FALSE
651,0.3,0.75,0.08,19820,19820,1,0.01,0.1,2.323790008,TRUE
652,0.3,0.75,0.08,19820,19820,1,0.01,0.3,1.341640786,TRUE
653,0.3,0.75,0.08,19820,19820,1,0.005,0.1,3.286335345,TRUE
654,0.3,0.75,0.08,19820,19820,1,0.005,0.3,1.897366596,TRUE
655,0.3,0.75,0.08,19820,49550,2.5,0.25,0.1,0.734846923,FALSE
656,0.3,0.75,0.08,19820,49550,2.5,0.25,0.3,0.424264069,FALSE
657,0.3,0.75,0.08,19820,49550,2.5,0.01,0.1,3.674234614,TRUE
658,0.3,0.75,0.08,19820,49550,2.5,0.01,0.3,2.121320344,TRUE
659,0.3,0.75,0.08,19820,49550,2.5,0.005,0.1,5.196152423,TRUE
660,0.3,0.75,0.08,19820,49550,2.5,0.005,0.3,3,TRUE
661,0.3,0.75,0.08,19820,138740,7,0.25,0.1,1.229634092,TRUE
662,0.3,0.75,0.08,19820,138740,7,0.25,0.3,0.709929574,FALSE
663,0.3,0.75,0.08,19820,138740,7,0.01,0.1,6.14817046,TRUE
664,0.3,0.75,0.08,19820,138740,7,0.01,0.3,3.54964787,TRUE
665,0.3,0.75,0.08,19820,138740,7,0.005,0.1,8.694826048,TRUE
666,0.3,0.75,0.08,19820,138740,7,0.005,0.3,5.019960159,TRUE
667,0.3,0.75,0.08,19820,198200,10,0.25,0.1,1.469693846,TRUE
668,0.3,0.75,0.08,19820,198200,10,0.25,0.3,0.848528137,FALSE
669,0.3,0.75,0.08,19820,198200,10,0.01,0.1,7.348469228,TRUE
670,0.3,0.75,0.08,19820,198200,10,0.01,0.3,4.242640687,TRUE
671,0.3,0.75,0.08,19820,198200,10,0.005,0.1,10.39230485,TRUE
672,0.3,0.75,0.08,19820,198200,10,0.005,0.3,6,TRUE
673,0.3,0.75,0.27,100,100,1,0.25,0.1,0.853814968,FALSE
674,0.3,0.75,0.27,100,100,1,0.25,0.3,0.492950302,FALSE
675,0.3,0.75,0.27,100,100,1,0.01,0.1,4.269074841,TRUE
676,0.3,0.75,0.27,100,100,1,0.01,0.3,2.464751509,TRUE
677,0.3,0.75,0.27,100,100,1,0.005,0.1,6.037383539,TRUE
678,0.3,0.75,0.27,100,100,1,0.005,0.3,3.485685012,TRUE
679,0.3,0.75,0.27,100,250,2.5,0.25,0.1,1.35,TRUE
680,0.3,0.75,0.27,100,250,2.5,0.25,0.3,0.779422863,FALSE
681,0.3,0.75,0.27,100,250,2.5,0.01,0.1,6.75,TRUE
682,0.3,0.75,0.27,100,250,2.5,0.01,0.3,3.897114317,TRUE
683,0.3,0.75,0.27,100,250,2.5,0.005,0.1,9.545941546,TRUE
684,0.3,0.75,0.27,100,250,2.5,0.005,0.3,5.511351921,TRUE
685,0.3,0.75,0.27,100,700,7,0.25,0.1,2.258982072,TRUE
686,0.3,0.75,0.27,100,700,7,0.25,0.3,1.304223907,TRUE
687,0.3,0.75,0.27,100,700,7,0.01,0.1,11.29491036,TRUE
688,0.3,0.75,0.27,100,700,7,0.01,0.3,6.521119536,TRUE
689,0.3,0.75,0.27,100,700,7,0.005,0.1,15.97341541,TRUE
690,0.3,0.75,0.27,100,700,7,0.005,0.3,9.222255689,TRUE
691,0.3,0.75,0.27,100,1000,10,0.25,0.1,2.7,TRUE
692,0.3,0.75,0.27,100,1000,10,0.25,0.3,1.558845727,TRUE
693,0.3,0.75,0.27,100,1000,10,0.01,0.1,13.5,TRUE
694,0.3,0.75,0.27,100,1000,10,0.01,0.3,7.794228634,TRUE
695,0.3,0.75,0.27,100,1000,10,0.005,0.1,19.09188309,TRUE
696,0.3,0.75,0.27,100,1000,10,0.005,0.3,11.02270384,TRUE
697,0.3,0.75,0.27,780,780,1,0.25,0.1,0.853814968,FALSE
698,0.3,0.75,0.27,780,780,1,0.25,0.3,0.492950302,FALSE
699,0.3,0.75,0.27,780,780,1,0.01,0.1,4.269074841,TRUE
700,0.3,0.75,0.27,780,780,1,0.01,0.3,2.464751509,TRUE
701,0.3,0.75,0.27,780,780,1,0.005,0.1,6.037383539,TRUE
702,0.3,0.75,0.27,780,780,1,0.005,0.3,3.485685012,TRUE
703,0.3,0.75,0.27,780,1950,2.5,0.25,0.1,1.35,TRUE
704,0.3,0.75,0.27,780,1950,2.5,0.25,0.3,0.779422863,FALSE
705,0.3,0.75,0.27,780,1950,2.5,0.01,0.1,6.75,TRUE
706,0.3,0.75,0.27,780,1950,2.5,0.01,0.3,3.897114317,TRUE
707,0.3,0.75,0.27,780,1950,2.5,0.005,0.1,9.545941546,TRUE
708,0.3,0.75,0.27,780,1950,2.5,0.005,0.3,5.511351921,TRUE
709,0.3,0.75,0.27,780,5460,7,0.25,0.1,2.258982072,TRUE
710,0.3,0.75,0.27,780,5460,7,0.25,0.3,1.304223907,TRUE
711,0.3,0.75,0.27,780,5460,7,0.01,0.1,11.29491036,TRUE
712,0.3,0.75,0.27,780,5460,7,0.01,0.3,6.521119536,TRUE
713,0.3,0.75,0.27,780,5460,7,0.005,0.1,15.97341541,TRUE
714,0.3,0.75,0.27,780,5460,7,0.005,0.3,9.222255689,TRUE
715,0.3,0.75,0.27,780,7800,10,0.25,0.1,2.7,TRUE
716,0.3,0.75,0.27,780,7800,10,0.25,0.3,1.558845727,TRUE
717,0.3,0.75,0.27,780,7800,10,0.01,0.1,13.5,TRUE
718,0.3,0.75,0.27,780,7800,10,0.01,0.3,7.794228634,TRUE
719,0.3,0.75,0.27,780,7800,10,0.005,0.1,19.09188309,TRUE
720,0.3,0.75,0.27,780,7800,10,0.005,0.3,11.02270384,TRUE
721,0.3,0.75,0.27,37500,37500,1,0.25,0.1,0.853814968,FALSE
722,0.3,0.75,0.27,37500,37500,1,0.25,0.3,0.492950302,FALSE
723,0.3,0.75,0.27,37500,37500,1,0.01,0.1,4.269074841,TRUE
724,0.3,0.75,0.27,37500,37500,1,0.01,0.3,2.464751509,TRUE
725,0.3,0.75,0.27,37500,37500,1,0.005,0.1,6.037383539,TRUE
726,0.3,0.75,0.27,37500,37500,1,0.005,0.3,3.485685012,TRUE
727,0.3,0.75,0.27,37500,93750,2.5,0.25,0.1,1.35,TRUE
728,0.3,0.75,0.27,37500,93750,2.5,0.25,0.3,0.779422863,FALSE
729,0.3,0.75,0.27,37500,93750,2.5,0.01,0.1,6.75,TRUE
730,0.3,0.75,0.27,37500,93750,2.5,0.01,0.3,3.897114317,TRUE
731,0.3,0.75,0.27,37500,93750,2.5,0.005,0.1,9.545941546,TRUE
732,0.3,0.75,0.27,37500,93750,2.5,0.005,0.3,5.511351921,TRUE
733,0.3,0.75,0.27,37500,262500,7,0.25,0.1,2.258982072,TRUE
734,0.3,0.75,0.27,37500,262500,7,0.25,0.3,1.304223907,TRUE
735,0.3,0.75,0.27,37500,262500,7,0.01,0.1,11.29491036,TRUE
736,0.3,0.75,0.27,37500,262500,7,0.01,0.3,6.521119536,TRUE
737,0.3,0.75,0.27,37500,262500,7,0.005,0.1,15.97341541,TRUE
738,0.3,0.75,0.27,37500,262500,7,0.005,0.3,9.222255689,TRUE
739,0.3,0.75,0.27,37500,375000,10,0.25,0.1,2.7,TRUE
740,0.3,0.75,0.27,37500,375000,10,0.25,0.3,1.558845727,TRUE
741,0.3,0.75,0.27,37500,375000,10,0.01,0.1,13.5,TRUE
742,0.3,0.75,0.27,37500,375000,10,0.01,0.3,7.794228634,TRUE
743,0.3,0.75,0.27,37500,375000,10,0.005,0.1,19.09188309,TRUE
744,0.3,0.75,0.27,37500,375000,10,0.005,0.3,11.02270384,TRUE
745,0.3,0.75,0.27,19820,19820,1,0.25,0.1,0.853814968,FALSE
746,0.3,0.75,0.27,19820,19820,1,0.25,0.3,0.492950302,FALSE
747,0.3,0.75,0.27,19820,19820,1,0.01,0.1,4.269074841,TRUE
748,0.3,0.75,0.27,19820,19820,1,0.01,0.3,2.464751509,TRUE
749,0.3,0.75,0.27,19820,19820,1,0.005,0.1,6.037383539,TRUE
750,0.3,0.75,0.27,19820,19820,1,0.005,0.3,3.485685012,TRUE
751,0.3,0.75,0.27,19820,49550,2.5,0.25,0.1,1.35,TRUE
752,0.3,0.75,0.27,19820,49550,2.5,0.25,0.3,0.779422863,FALSE
753,0.3,0.75,0.27,19820,49550,2.5,0.01,0.1,6.75,TRUE
754,0.3,0.75,0.27,19820,49550,2.5,0.01,0.3,3.897114317,TRUE
755,0.3,0.75,0.27,19820,49550,2.5,0.005,0.1,9.545941546,TRUE
756,0.3,0.75,0.27,19820,49550,2.5,0.005,0.3,5.511351921,TRUE
757,0.3,0.75,0.27,19820,138740,7,0.25,0.1,2.258982072,TRUE
758,0.3,0.75,0.27,19820,138740,7,0.25,0.3,1.304223907,TRUE
759,0.3,0.75,0.27,19820,138740,7,0.01,0.1,11.29491036,TRUE
760,0.3,0.75,0.27,19820,138740,7,0.01,0.3,6.521119536,TRUE
761,0.3,0.75,0.27,19820,138740,7,0.005,0.1,15.97341541,TRUE
762,0.3,0.75,0.27,19820,138740,7,0.005,0.3,9.222255689,TRUE
763,0.3,0.75,0.27,19820,198200,10,0.25,0.1,2.7,TRUE
764,0.3,0.75,0.27,19820,198200,10,0.25,0.3,1.558845727,TRUE
765,0.3,0.75,0.27,19820,198200,10,0.01,0.1,13.5,TRUE
766,0.3,0.75,0.27,19820,198200,10,0.01,0.3,7.794228634,TRUE
767,0.3,0.75,0.27,19820,198200,10,0.005,0.1,19.09188309,TRUE
768,0.3,0.75,0.27,19820,198200,10,0.005,0.3,11.02270384,TRUE
769,0.3,0.75,0.6,100,100,1,0.25,0.1,1.272792206,TRUE
770,0.3,0.75,0.6,100,100,1,0.25,0.3,0.734846923,FALSE
771,0.3,0.75,0.6,100,100,1,0.01,0.1,6.363961031,TRUE
772,0.3,0.75,0.6,100,100,1,0.01,0.3,3.674234614,TRUE
773,0.3,0.75,0.6,100,100,1,0.005,0.1,9,TRUE
774,0.3,0.75,0.6,100,100,1,0.005,0.3,5.196152423,TRUE
775,0.3,0.75,0.6,100,250,2.5,0.25,0.1,2.01246118,TRUE
776,0.3,0.75,0.6,100,250,2.5,0.25,0.3,1.161895004,TRUE
777,0.3,0.75,0.6,100,250,2.5,0.01,0.1,10.0623059,TRUE
778,0.3,0.75,0.6,100,250,2.5,0.01,0.3,5.809475019,TRUE
779,0.3,0.75,0.6,100,250,2.5,0.005,0.1,14.23024947,TRUE
780,0.3,0.75,0.6,100,250,2.5,0.005,0.3,8.215838363,TRUE
781,0.3,0.75,0.6,100,700,7,0.25,0.1,3.367491648,TRUE
782,0.3,0.75,0.6,100,700,7,0.25,0.3,1.94422221,TRUE
783,0.3,0.75,0.6,100,700,7,0.01,0.1,16.83745824,TRUE
784,0.3,0.75,0.6,100,700,7,0.01,0.3,9.721111048,TRUE
785,0.3,0.75,0.6,100,700,7,0.005,0.1,23.8117618,TRUE
786,0.3,0.75,0.6,100,700,7,0.005,0.3,13.74772708,TRUE
787,0.3,0.75,0.6,100,1000,10,0.25,0.1,4.024922359,TRUE
788,0.3,0.75,0.6,100,1000,10,0.25,0.3,2.323790008,TRUE
789,0.3,0.75,0.6,100,1000,10,0.01,0.1,20.1246118,TRUE
790,0.3,0.75,0.6,100,1000,10,0.01,0.3,11.61895004,TRUE
791,0.3,0.75,0.6,100,1000,10,0.005,0.1,28.46049894,TRUE
792,0.3,0.75,0.6,100,1000,10,0.005,0.3,16.43167673,TRUE
793,0.3,0.75,0.6,780,780,1,0.25,0.1,1.272792206,TRUE
794,0.3,0.75,0.6,780,780,1,0.25,0.3,0.734846923,FALSE
795,0.3,0.75,0.6,780,780,1,0.01,0.1,6.363961031,TRUE
796,0.3,0.75,0.6,780,780,1,0.01,0.3,3.674234614,TRUE
797,0.3,0.75,0.6,780,780,1,0.005,0.1,9,TRUE
798,0.3,0.75,0.6,780,780,1,0.005,0.3,5.196152423,TRUE
799,0.3,0.75,0.6,780,1950,2.5,0.25,0.1,2.01246118,TRUE
800,0.3,0.75,0.6,780,1950,2.5,0.25,0.3,1.161895004,TRUE
801,0.3,0.75,0.6,780,1950,2.5,0.01,0.1,10.0623059,TRUE
802,0.3,0.75,0.6,780,1950,2.5,0.01,0.3,5.809475019,TRUE
803,0.3,0.75,0.6,780,1950,2.5,0.005,0.1,14.23024947,TRUE
804,0.3,0.75,0.6,780,1950,2.5,0.005,0.3,8.215838363,TRUE
805,0.3,0.75,0.6,780,5460,7,0.25,0.1,3.367491648,TRUE
806,0.3,0.75,0.6,780,5460,7,0.25,0.3,1.94422221,TRUE
807,0.3,0.75,0.6,780,5460,7,0.01,0.1,16.83745824,TRUE
808,0.3,0.75,0.6,780,5460,7,0.01,0.3,9.721111048,TRUE
809,0.3,0.75,0.6,780,5460,7,0.005,0.1,23.8117618,TRUE
810,0.3,0.75,0.6,780,5460,7,0.005,0.3,13.74772708,TRUE
811,0.3,0.75,0.6,780,7800,10,0.25,0.1,4.024922359,TRUE
812,0.3,0.75,0.6,780,7800,10,0.25,0.3,2.323790008,TRUE
813,0.3,0.75,0.6,780,7800,10,0.01,0.1,20.1246118,TRUE
814,0.3,0.75,0.6,780,7800,10,0.01,0.3,11.61895004,TRUE
815,0.3,0.75,0.6,780,7800,10,0.005,0.1,28.46049894,TRUE
816,0.3,0.75,0.6,780,7800,10,0.005,0.3,16.43167673,TRUE
817,0.3,0.75,0.6,37500,37500,1,0.25,0.1,1.272792206,TRUE
818,0.3,0.75,0.6,37500,37500,1,0.25,0.3,0.734846923,FALSE
819,0.3,0.75,0.6,37500,37500,1,0.01,0.1,6.363961031,TRUE
820,0.3,0.75,0.6,37500,37500,1,0.01,0.3,3.674234614,TRUE
821,0.3,0.75,0.6,37500,37500,1,0.005,0.1,9,TRUE
822,0.3,0.75,0.6,37500,37500,1,0.005,0.3,5.196152423,TRUE
823,0.3,0.75,0.6,37500,93750,2.5,0.25,0.1,2.01246118,TRUE
824,0.3,0.75,0.6,37500,93750,2.5,0.25,0.3,1.161895004,TRUE
825,0.3,0.75,0.6,37500,93750,2.5,0.01,0.1,10.0623059,TRUE
826,0.3,0.75,0.6,37500,93750,2.5,0.01,0.3,5.809475019,TRUE
827,0.3,0.75,0.6,37500,93750,2.5,0.005,0.1,14.23024947,TRUE
828,0.3,0.75,0.6,37500,93750,2.5,0.005,0.3,8.215838363,TRUE
829,0.3,0.75,0.6,37500,262500,7,0.25,0.1,3.367491648,TRUE
830,0.3,0.75,0.6,37500,262500,7,0.25,0.3,1.94422221,TRUE
831,0.3,0.75,0.6,37500,262500,7,0.01,0.1,16.83745824,TRUE
832,0.3,0.75,0.6,37500,262500,7,0.01,0.3,9.721111048,TRUE
833,0.3,0.75,0.6,37500,262500,7,0.005,0.1,23.8117618,TRUE
834,0.3,0.75,0.6,37500,262500,7,0.005,0.3,13.74772708,TRUE
835,0.3,0.75,0.6,37500,375000,10,0.25,0.1,4.024922359,TRUE
836,0.3,0.75,0.6,37500,375000,10,0.25,0.3,2.323790008,TRUE
837,0.3,0.75,0.6,37500,375000,10,0.01,0.1,20.1246118,TRUE
838,0.3,0.75,0.6,37500,375000,10,0.01,0.3,11.61895004,TRUE
839,0.3,0.75,0.6,37500,375000,10,0.005,0.1,28.46049894,TRUE
840,0.3,0.75,0.6,37500,375000,10,0.005,0.3,16.43167673,TRUE
841,0.3,0.75,0.6,19820,19820,1,0.25,0.1,1.272792206,TRUE
842,0.3,0.75,0.6,19820,19820,1,0.25,0.3,0.734846923,FALSE
843,0.3,0.75,0.6,19820,19820,1,0.01,0.1,6.363961031,TRUE
844,0.3,0.75,0.6,19820,19820,1,0.01,0.3,3.674234614,TRUE
845,0.3,0.75,0.6,19820,19820,1,0.005,0.1,9,TRUE
846,0.3,0.75,0.6,19820,19820,1,0.005,0.3,5.196152423,TRUE
847,0.3,0.75,0.6,19820,49550,2.5,0.25,0.1,2.01246118,TRUE
848,0.3,0.75,0.6,19820,49550,2.5,0.25,0.3,1.161895004,TRUE
849,0.3,0.75,0.6,19820,49550,2.5,0.01,0.1,10.0623059,TRUE
850,0.3,0.75,0.6,19820,49550,2.5,0.01,0.3,5.809475019,TRUE
851,0.3,0.75,0.6,19820,49550,2.5,0.005,0.1,14.23024947,TRUE
852,0.3,0.75,0.6,19820,49550,2.5,0.005,0.3,8.215838363,TRUE
853,0.3,0.75,0.6,19820,138740,7,0.25,0.1,3.367491648,TRUE
